ifsc,bank_id,branch,address,city,district,state,bank_name
ICIC00JUCBL,8,JANSEWA URBAN CO-OP BANK LTD,1ST FLOOR MADHAVLEELA COMPLEX MASKASATH SQUARE ITWARI NAGPUR - 440002,NAGPUR,NAGPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00JUCOB,8,JANTA URBAN CO-OP BANK,2408 B SONGIRWADI WAI-412803,SATARA,SATARA,MAHARASHTRA,ICICI BANK LIMITED
ICIC00JUSBL,8,JAYSINGPUR UDGAON SAHAKARI BANK LTD,"10TH LANE, SANGLI ┬û KOLHAPUR ROAD, OPP POLICE STATION, JAYSINGPUR ┬û 416101, TAL ┬û SHIROL, DIST ┬û KOLHAPUR",SHIROL,KOLHAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00KAIRA,8,THE KAIRA DISTRICT CENTRAL CO OP BANK LTD,"KDCC BANK BHAVAN, SARDAR PATEL ROAD, NADIAD. PIN- 387001 DIST: KHEDA GUJARAT",NADIAD,KHEDA,GUJARAT,ICICI BANK LIMITED
ICIC00KDCBL,8,KHARDAH COOPERATIVE BANK LIMITED,KHARDAH BRANCH NO.74 BY 24 BY 1 PK BISWAS ROAD KHARDAH KOLKATA 700117,KHARDAH,NORTH TWENTY FOUR PARGANAS,WEST BENGAL,ICICI BANK LIMITED
ICIC00KDUCB,8,KODOLI URBAN COOPERATIVE BANK,HO BRANCH KODAOLI AT POST KODOLI TAL PANHALA DIST KOLHAPUR,PANHALA,KOLHAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00KHIRI,8,DIST. COOP BANK LTD  LAKHIMPUR KHIRI,"CIVIL LINES, LAKHIMPUR KHIRI 262701",LAKHIMPUR KHERI,LAKHIMPUR KHERI,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00KNSBL,8,KHALILABAD NAGAR SAHAKARI BANK LIMITED,"GOLA BAZAR, KHALILABAD,SHANT KABIR NAGAR, UTTAR PRADESH.272175.",KHALILABAD,SANT KABIR NAGAR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00KNUCB,8,KEDARNATH URBAN CO OP BANK LTD,AMBAJOGAI ROAD LATUR -413512,LATUR,LATUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00KPCBL,8,THE KHEDA PEOPLE'S CO.OP. BANK LTD,"PANIWALI SHERI, CHOKSI BAZAAR, KHEDA ┬û 387411",KHEDA,KHEDA,GUJARAT,ICICI BANK LIMITED
ICIC00KURLA,8,THE KURLA NAGARIK SAHAKARI BANK LTD,"210 S G BARVE MARG ,KURLA HIGH SCHOOL NEAR KURLA STATION KURLA [W]  MUMBAI 400070",MUMBAI,MUMBAI,MAHARASHTRA,ICICI BANK LIMITED
ICIC00KUTCB,8,KUTCH COOPERATIVE BANK LTD,SHEETAL 1ST FLOOR NEAR DIAMOND TALKIES L.T.ROAD BORIVLI W MUMBAI 400092,MUMBAI,GREATER BOMBAY,MAHARASHTRA,ICICI BANK LIMITED
ICIC00KZSBL,8,KANPUR ZILLA SAHAKARI BANK LTD,"30 D ,O ,BLOCK ALOO MANDI ,KIDWAI NAGAR ,KANPUR-208011",KANPUR,KANPUR CITY,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00LDCBL,8,THE DISTRICT COOPERATIVE BANK LTD  LALITPUR,"NEAR ELITE CHORAHA, JHANSI ROAD, LALITPUR",LALITPUR,LALITPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00LKUCB,8,LAKHIMPUR URBAN COOP BANK LTD,CP102 RAJNAGAR YOJNA AWAS VIKAS COLONY KHERI ROAD LAKHIMPUR KHERI 262701,LAKHIMPUR,LAKHIMPUR KHERI,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00LMNSB,8,LAXMIBAI MAHILA NAGARIK SAHAKARI BANK LTD,MOHAN NIWAS KAMPOO ROAD LASHKAR GWALIOR,GWALIOR,GWALIOR,MADHYA PRADESH,ICICI BANK LIMITED
ICIC00LUCBL,8,LAXMI URBAN CO OP BANK LTD,KAWA ROAD MARKET YARD LATUR 413512,LATUR,LATUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MANUC,8,MANWATH URBAN COOP BANK,MAIN ROAD MANWAT DIST -PARBHANI 431505,MANWATH,PARBHANI,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MAUCB,8,MAHESH URBAN CO OPERATIVE BANK LTD,KORE BUILDING TAILOR LANE TQ.PARLI VAIJNATH DIST BEED 431515,PARALI,BID,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MCUBL,8,THE MANJERI COOP URBAN BANK LIMITED,MAIN BRANCH COURT ROAD MANJERI MALAPPURAM DISTRICT KERALA - 676121,MANJERI,MALAPPURAM,KERALA,ICICI BANK LIMITED
ICIC00MDCCB,8,THE DISTRICT COOPERATIVE BANK LTD  MAINPURI,"COURT ROAD, MAINPURI(U.P) ┬û 285001",MAINPURI,MAINPURI,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00MDPPC,8,M.D. PAWAR PEOPLE┬ÆS CO-OPERATIVE BANK LIMITED,"H.O. MAHAVEER CHOWK, URUN-ISLAMPUR, 415409 , TALUK ┬û WALWA, DIST ┬û SANGLI",ISLAMPUR,SANGLI,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MERUT,8,ZILA SAHKARI BANK LTD,"WESTERN KUTCHERY ROAD, MEERUT 25001",MEERUT,MEERUT,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00MIRZA,8,ZILA SAHKARI BANK LTD,"PRADHAN KARYALAYA, COLLECTORATE COMPOUND,MIRZAPUR-231001",MIRZAPUR,MIRZAPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00MMCBL,8,THE MANMANDIR CO-OPERATIVE BANK LTD  VITA,"OPP S.T. STAND, VITA ┬û 415311, TALUKA ┬û KHANAPUR, DIST- SANGLI,MAHARASHTRA",VITA,SANGLI,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MMNSB,8,MAHISHMATI NAGRIK SAHAKARI BANK,DR.AMBEDKAR WARD CHILMAN CHOWK MANDLA-481 661,MANDALA,MANDLA,MADHYA PRADESH,ICICI BANK LIMITED
ICIC00MNSBL,8,MARKANDEY NAGARI SAHAKARI BANK LTD,SHASTRI MARKET MAHATMA GANDHI ROAD 431604,NANDED,NANDED,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MORAD,8,DISTRICT CO-OPERATIVE BANK,"NEAR BALAJI MANDIR,COURT ROAD, MORADABAD 244001",MORADABAD,MORADABAD,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00MPCUB,8,MAHARANA PRATAP COOP URBAN BANK LTD,2-3-36/1  22 & 23  6 NO : X ROADS  BAGH AMBERPET  HYDERABAD -500013,HYDERABAD,HYDERABAD,ANDHRA PRADESH,ICICI BANK LIMITED
ICIC00MSCBL,8,THE MANIPUR STATE CO OP BANK LTD,ASSEMBLY ROAD IMPHAL 795001 MANIPUR,IMPHAL,IMPHAL,MANIPUR,ICICI BANK LIMITED
ICIC00MSMNB,8,MAA SHARDA MAHILA NAGRIK BANK,NEAR GHANTA GHAR KAMLA MARKET MAIHAR,MAIHAR,SATNA,MADHYA PRADESH,ICICI BANK LIMITED
ICIC00MUCBA,8,MAHESH URBAN COP BANK LTD AHMEDPUR,HEAD OFFICE COLLEGE ROAD AHMEDPUR DIST LATUR,AHMEDPUR,LATUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MUCBL,8,MAHESH URBAN COOP BANK LTD,KORE BUILDING TAILAR LANE PARLIVAIJNATH TALUK PARLI VAIJANTH DIST BEED 431515,PARLIVAIJNATH,BID,MAHARASHTRA,ICICI BANK LIMITED
ICIC00MUPCB,8,THE MEHMADABAD URBAN PEOPLES CO-OPERATIVE BANK LTD,BANK ROAD BHAVSARVAD MAHEMDAVAD-387130 DIST.KHEDA GUJARAT,KHEDA,KHEDA,GUJARAT,ICICI BANK LIMITED
ICIC00MUZAF,8,ZILA SAHKARI BANK LTD,"COURT ROAD, MUZAFFARNAGAR 251001",MUZAFFARNAGAR,MUZAFFARNAGAR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00MZSBL,8,MATHURA ZILLA SAHAKARI BANK LTD.,"DAMPIER NAGAR NEAR BHAGAT SINGH PARK, MATHURA 281001",MATHURA,MATHURA,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00NDCCB,8,THE NASIK DIST CENTRAL COOP BANK L,P NO 284  NDCC BANK MAIN BRANCH  SERVICE ROAD  AGRA ROAD  NEAR DWARKA CIRCLE NASIK ? 422011,NASHIK,NASIK,MAHARASHTRA,ICICI BANK LIMITED
ICIC00NDIMC,8,NASHIK DISTRICT INDUSTRIAL & MERCANTILE COOP BANK LTD,"SHIVKAMAL APARTMENT, CANADA CORNER, SHARANPUR EXTN ROAD, NASHIK ┬û 422005",NASHIK,NASIK,MAHARASHTRA,ICICI BANK LIMITED
ICIC00NGSBL,8,NISHIGANDHA SAHAKARI BANK LTD,"SHOPING CENTER,NR-GAJANAN MAHARAJ SANSTHAN,PANDHARPUR-413304,DIST SOLAPUR,MAHARASHTRA",PANDHARPUR,SOLAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00NIDHI,8,NIDHI CO-OP BANK LTD,"NIDHI HOUSE, N H ROAD ┬û 8, NR C.T.M., CHAR RASTA, AMRAIWADI, AHMEDABAD ┬û 380026",AHMEDABAD,AHMEDABAD,GUJARAT,ICICI BANK LIMITED
ICIC00NNCBL,8,NARODA NAGRIK COOP BANK LTD,NARODA BANK BHAVAN  GURUKUL-MEMNAGAR ROAD  AHMEDABAD ? 380052,MEMNAGAR,AHMADABAD,GUJARAT,ICICI BANK LIMITED
ICIC00NNSBL,8,NANDANI SAHAKARI BANK LTD,1224 BAZAR PETH NANDANI TAL.SHIROL DIST.KOLHAPUR,KOLHAPUR,KOLHAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00NVJVN,8,THE NAVJEEVAN COOP BANK LTD,"BHAVANI SAW MILL COMPOUND, ULHASNAGAR ┬û 421 003.",ULHASNAGAR,THANE,MAHARASHTRA,ICICI BANK LIMITED
ICIC00OJSBL,8,OMERGA JANTA SAHAKARI BANK LTD,MAIN ROAD OMERGA TALUKA OMERGA - 413606,OSMANABAD,OSMANABAD,MAHARASHTRA,ICICI BANK LIMITED
ICIC00PCUBL,8,THE PALAMOOR CO-OPERATIVE URBAN BANK LTD,"D. NO. 2-1-7/10A, 1ST FLOOR, WAQF COMPLEX, RAICHUR ROAD, MAHABUBNAGAR ┬û 509 001",MAHBUBNAGAR,MAHBUBNAGAR,ANDHRA PRADESH,ICICI BANK LIMITED
ICIC00PDCBL,8,PILIBHIT DISTRICT CO-OPERATIVE BANK LTD,REGIONAL OFIICE NEAR CHATARI CHAURAHA PILIBHIT-2627001,PILIBHIT,PILIBHIT,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00PMCBL,8,THE PANDHARPUR  MERCHANTS CO-OP BANK LTD PANDHARPUR,"4075/A/1/39-LAXMI PATH,PANDHARPUR-413304,DIST SOLAPUR,MAHARASHTRA",PANDHARPUR,SOLAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00PPCOB,8,THE PIJ PEOPLES COOP BANK LTD,BANK BUILDING  MAIN BAZAR  TA- VASO  DIST ? KHEDA  AT POST PIJ ? 387230,VASO,KHEDA,GUJARAT,ICICI BANK LIMITED
ICIC00PRCBL,8,PRAGATHI CO-OPERATIVE BANK LTD,"NO. 12/1, PRAGATHI BHAVAN, 1ST MAIN ROAD, MALLESHWARAM, BANGALORE ┬û 560 003",BANGALORE,BANGALORE URBAN,KARNATAKA,ICICI BANK LIMITED
ICIC00PRDCB,8,THE DISTRICT COOPERATIVE BANK LTD  PRATAPGARGH,"RAJPAL TANKI , PRATAPGARH ,(UP) ┬û 230001",PRATAPGARH,PRATAPGARH,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00PUCCB,8,THE PANDHARPUR URBAN COOP BANK LTD,4163B NAVI PETH PANDHARPUR 413304,PANDHARPUR,SOLAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00PURDC,8,THE PURNIA DISTRICT CENTRAL CO-OPERATIVE BANK LTD,COURT COMPOUND PURNIA SADAR PURNIA - 854301,PURNEA,PURNIA,BIHAR,ICICI BANK LIMITED
ICIC00PURVA,8,PURVANCHAL CO-OPERATIVE BANK LTD. GHAZIPUR,52A1 SHASTRI NAGAR LANKA GHAZIPUR U P PIN CODE 233001,GHAZIPUR,GHAZIPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00RAMPR,8,RAMPUR ZILA SAHAKARI BANK LTD,"CIVIL LINES, RAMPUR 244901",RAMPUR,RAMPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00RANPB,8,THE RANDER PEOPLES COOP BANK LTD,BANK BUILDING BOTAWALA MARG UMAD FALIA RANDER SURAT 395005,SURAT,SURAT,GUJARAT,ICICI BANK LIMITED
ICIC00RBDCB,8,RAE BARELI DISTRICT COOPERATIVE BANK LTD,"RAE BARELI COOP BANK BUILDING, IST FLOOR, H.P.O. KAIPERGANJ, GHANTAGHAR, KUTCHERY RD. RAE BARELI - 229 001",RAE BARELI,RAI BARELI,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00RCCBL,8,THE RAJKOT COMMERCIAL CO-OPERATIVE BANK LTD,SUVIDHA CHANDULAL BUCH MARG RAJKOT 360001,RAJKOT,RAJKOT,GUJARAT,ICICI BANK LIMITED
ICIC00RUCBL,8,RAJAPUR URBAN COOP BANK LTD,NAVALE COMPLEX JAWAHAR CHOWK RAJAPUR DIST.RATNAGIRI 416 702,RAJAPUR,RATNAGIRI,MAHARASHTRA,ICICI BANK LIMITED
ICIC00RUMCO,8,THE RAIPUR URBAN MERCHANT CO-OP BANK LTD,RAVI BHAWAN JAISTAMBH CHOWK RAIPUR C.G.-492001,RAIPUR,RAIPUR,CHHATTISGARH,ICICI BANK LIMITED
ICIC00SAMSB,8,SAMATA SAHAKARI BANK LTD,SINGH SADAN KHOTWADI A.S.MARG OFF S V ROAD TPS VI SANTACRUZ W MUMBAI 400 054,MUMBAI,GREATER BOMBAY,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SBCUB,8,THE SULTAN┬ÆS BATTERY CO-OPERATIVE URBAN BANK LTD,"CRESCENT BUILDING, SULTHAN BATHERY P.O. WAYANAD DISTRICT KERALA ┬û 673592",SULTHANBATHERY,WAYANAD,KERALA,ICICI BANK LIMITED
ICIC00SBSBN,8,SHRI BASAVESHWAR SAHAKARI BANK NYT  BAGALKOT,"BASAVESHWAR BANK CIRCLE, SECTOR NO. 25, NAVANAGAR, BAGALKOT - 587 103",BAGALKOT,BAGALKOTE,KARNATAKA,ICICI BANK LIMITED
ICIC00SBUCB,8,SHRI BALAJI URBAN CO-OPERATIVE BANK LTD,"1ST FLOOR, GANESH TOWER, JAISTAMBH CHOWK, SATNA ┬û 485001, M.P.",SATNA,SATNA,MADHYA PRADESH,ICICI BANK LIMITED
ICIC00SDCCB,8,THE SOLAPUR DISTRICT CENTRAL COOPERATIVE BANK LTD,"207,8,9 GOLD FINCH PETH SOLAPUR 413007",SOLAPUR,SOLAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SEVUC,8,THE SEVALIA URBAN CO. OP BANK LTD,"SARDAR PATEL ROAD,  SEVALIA 388245",SEVALIA R.S.,KHEDA,GUJARAT,ICICI BANK LIMITED
ICIC00SHIDD,8,SHRI SHIDDHESHWAR COOPERATIVE BANK LTD,S S ROAD BIJAPUR KARNATAKA 586101,BIJAPUR,BIJAPUR,KARNATAKA,ICICI BANK LIMITED
ICIC00SHNSB,8,SHIVAJI NAGARI PAITHAN,TALUK PAITHAN 431107 DIST AURANGABAD,PAITHAN,AURANGABAD,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SIDRH,8,URBAN COOP BANK LTD  SIDDHARTHANAGAR,"BANSI ROAD, PIPRI BAZAR, SIDDHARTHANAGAR, 272001",SIDHARTHANAGAR,SIDHARTHANAGAR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00SIDUC,8,SIDDHESHWAR URBAN CO-OP BANK MARYADIT SILLOD,PALODKAR BLD MAIN MARKET SILLOD DIST AURANGABAD PIN 431112,SILLOD,AURANGABAD,MAHARASHTRA,ICICI BANK LIMITED
