ifsc,bank_id,branch,address,city,district,state,bank_name
IDIB000G066,18,GANGTOK,"M G MARG, NEW MARKET, GANGTOK ┬û 737 101",GANGTOK,EAST SIKKIM,SIKKIM,INDIAN BANK
IDIB000G067,18,GANGA NAGAR,"PLOT NO.3, SHAH TOWERS, (NEAR SUKHADYA CIRCLE), SRI GANGA NAGAR  335 001",GANGANAGAR,GANGANAGAR,RAJASTHAN,INDIAN BANK
IDIB000G068,18,G N B ROAD,"I FLOOR, SEUJEE ENCLAVE G N B ROAD CHANDMARI TRAFFIC POINT GUWAHATI 781003",GUWAHATI,KAMRUP,ASSAM,INDIAN BANK
IDIB000G069,18,GOVT BUSINESS SER. BR CHENNAI,"SICCI BUILDING NO. 6, ESPLANADE ROAD CHENNAI 600108",CHENNAI,CHENNAI,TAMIL NADU,INDIAN BANK
IDIB000G070,18,GOVT. VELLORE MEDICAL COLLEGE,GOVT. VELLORE MEDICAL COLLEGE ADUKKAMBARAI VELLORE 632011,VELLORE,VELLORE,TAMIL NADU,INDIAN BANK
IDIB000G071,18,GARIA,"217, GARIA MAIN ROAD GARIA KOLKATTA 700084",KOLKATA,KOLKATA,WEST BENGAL,INDIAN BANK
IDIB000G072,18,GORAYA,G T ROAD GORAYA JALANDHAR 144409,GORAYA,JALANDHAR,PUNJAB,INDIAN BANK
IDIB000G073,18,GOLMURI ROAD,TEE KAY COMPLEX NEAR TIN PLATE CO. GATE GOLMURI GOLMURI JAMSHEDPUR 831001,JAMSHEDPUR,PASCHIMI SINGHBHUM,JHARKHAND,INDIAN BANK
IDIB000G074,18,GALSI,"DUTTA MARKET, GALSI - 713406",GALSI,BARDHAMAN,WEST BENGAL,INDIAN BANK
IDIB000G075,18,GANNAVARAM,"DOOR NO 2/200, VENUS STREET, SRINAGAR COLONY, GANNAVARAM  521101",GANNAVARAM,KRISHNA,ANDHRA PRADESH,INDIAN BANK
IDIB000G076,18,GURUNANAK NAGAR,"DOOR NO.59A-B-15 PLOT NO.110 4TH LANE, TEACHERS COLONY GURUNANAK  NAGAR VIJAYAWADA-520008",VIJAYAWADA,KRISHNA,ANDHRA PRADESH,INDIAN BANK
IDIB000G077,18,GURKHA BASTI,"AIRPORT ROAD, GURKHA BASTI, KUNJABAN, WEST TRIPURA, TRIPURA 799006. .",KUNJAVAN,WEST TRIPURA,TRIPURA,INDIAN BANK
IDIB000G078,18,GUJRANWALA TOWN,A-54GUJRANWALA TOWN PART - I NEW DELHI 110009,DELHI,DELHI,DELHI,INDIAN BANK
IDIB000G079,18,G N CHETTY ROAD,"119, G N CHETTY ROAD, T, NAGAR, CHENNAI 600017",CHENNAI,CHENNAI,TAMIL NADU,INDIAN BANK
IDIB000G080,18,GYANPUR,"OLD A.R.T.O OFFICE, PATEL NAGAR, GYANPUR, SRN BHADOHI ,UTTAR PRADESH - 221304",GYANPUR,SANT RAVIDAS NAGAR,UTTAR PRADESH,INDIAN BANK
IDIB000G081,18,GUDUR,"13/92,RAJA STREET,GUDUR",GUDUR,NELLORE,ANDHRA PRADESH,INDIAN BANK
IDIB000G082,18,GGS INDRAPRASTHA UNIVERSITY DWARKA,G.G.S. I.P. UNIVERSITYSECTOR - 16CDWARKA,DELHI,DELHI,DELHI,INDIAN BANK
IDIB000G083,18,GOMTI NAGAR,2/139  VIJAY KHAND  GOMTI NAGAR LUCKNOW 226010,LUCKNOW,LUCKNOW,UTTAR PRADESH,INDIAN BANK
IDIB000G084,18,GHAZIPUR,PHOOLANPUR RAILWAY CROSSING  PHOOLANPUR  GHAZIPUR 233001,GHAZIPUR,GHAZIPUR,UTTAR PRADESH,INDIAN BANK
IDIB000G085,18,GITAM UNIVERSITY,1 ST FLOOR  NIRMAN BHAVAN  GITAM UNIVERSITY CAMPUS  RUSHIKONDA 530045,VISAKHAPATNAM,ANDHRA PRADESH,ANDHRA PRADESH,INDIAN BANK
IDIB000G086,18,GANAPATHI AGRAHARAM,"6-50/1,PILLAIYAR KOIL ST,GANAPATHI AGRAHARAM",GANAPATHY AGRAHARAM,THANJAVUR,TAMIL NADU,INDIAN BANK
IDIB000G087,18,GONDA,CP -108  SAURABH COMPLEX  CIRCULAR ROAD  AWAS VIKAS COLONY  GONDA 271002,GONDA,GONDA,UTTAR PRADESH,INDIAN BANK
IDIB000G088,18,GIRIDIH,KALI MANDA ROAD  GIRIDIH 815301,GIRIDIH,GIRIDIH,JHARKHAND,INDIAN BANK
IDIB000G089,18,GUMLA,"1ST FLOOR,  SARASWATI MEDICAL HALL  NEAR TOWER CHOWK  MAIN ROAD,GUMLA 835207",GUMLA,GUMLA,JHARKHAND,INDIAN BANK
IDIB000G090,18,GOPIGANJ,PHOOL BAGHGYANPUR ROADGOPIGANJ S.R.N. BHADOHI  UTTAR PRADESH  PIN-221303,GOPIGANJ,SANT RAVIDAS NAGAR,UTTAR PRADESH,INDIAN BANK
IDIB000G091,18,GANDHIDHAM,PLOT NO 6SECTOR 1-AGANDHIDHAM DISTRICT KUTCH  GUJARAT-,GANDHIDHAM,KACHCHH,GUJARAT,INDIAN BANK
IDIB000G092,18,GERIGEPALLI,52GERIGAPALLIGERIGAPALLISALAMARATHUPATTI  KRISHNAGIRI TAMIL NADU -635304,KRISHNAGIRI,KRISHNAGIRI,TAMIL NADU,INDIAN BANK
IDIB000G093,18,GANNERUVARAM,"6-66/137/1, MAIN ROAD, NEAR AYURVEDIC HOSPITAL, GANNERUVARAM, BEJJANAKI MANDAL, KARIMNAGAR, ANDHRA PRADESH",KARIMNAGAR,KARIMNAGAR,ANDHRA PRADESH,INDIAN BANK
IDIB000G096,18,GITAM UNIVERSITY CAMPUS,"GITAM UNIVERSITY CAMPUS,RUDRARAM VILLAGE, PATANCHERU MANDAL, MEDAK, ANDRA PRADESH",MEDAK,MEDAK,ANDHRA PRADESH,INDIAN BANK
IDIB000G097,18,GADAG,"SHRI SAI COMPLEX, PLOT NO.1, SEVALAL NAGAR, KALASAPUR ROAD, GADAG, KARNATAKA, PIN - 582101",GADAG,GADAG,KARNATAKA,INDIAN BANK
IDIB000G098,18,GOPALAPATNAM,"11-7 TO 11, MAIN ROAD, OPP. RAMALAYAM, GOPALAPATNAM, VISAKHAPATNAM DIST, ANDHRA PRADESH, PIN - 530027",VISHAKHAPATNAM,VISHAKHAPATNAM,ANDHRA PRADESH,INDIAN BANK
IDIB000G099,18,GANGARAM,"GANGARAM VILLAGE,KOTHANGUDA MANDAL,WARANGAL DIST,ANDHRA PRADESH,PIN 506002",GANGARAM,WARANGAL,ANDHRA PRADESH,INDIAN BANK
IDIB000G100,18,GUDDIMALKAPUR,"GUDDIMALKAPUR,HUNWADA MANDAL,MAHABOOBNAGAR DIST,ANDHRA PRADESH,PIN 509001",GUDDIMALKAPUR,MAHBUBNAGAR,ANDHRA PRADESH,INDIAN BANK
IDIB000G101,18,GAURA BAGANHAWA,"GAURA BAGANHAWA, BLOCK GANSARI, TAHSIL TULSIPUR, BALRAMPUR DIST, UTTAR PRADESH, PIN - 271604",BALRAMPUR,BALRAMPUR,UTTAR PRADESH,INDIAN BANK
IDIB000G102,18,GOLIA,"GRAM PANCHAYAT BUILDING,GOLIA,GANJAM DIST,ORISSA,PIN 761 118",GOLIA,GANJAM,ODISHA,INDIAN BANK
IDIB000G103,18,GURDASPUR,"22,IMPROVEMENT TRUST,G T ROAD,GURDASPUR,GURDASPUR DIST,PUNJAB,PIN 143 521",GURDASPUR,GURDASPUR,PUNJAB,INDIAN BANK
IDIB000G104,18,GOHANA,"648/5 OPP TO VETERINARY HOSPITAL, CHOTU RAM CHOWK, GOHANA, SONEPAT DIST, HARYANA, PIN-131301",GOHANA,SONIPAT,HARYANA,INDIAN BANK
IDIB000G105,18,GOREGAON EAST,"SHOP NO 8 TO 12 CORPORATE AVENUE PLOT NO 488/1, SONAWALA MAIN ROAD GOREGAON EAST MUMBAI",MUMBAI,GREATER BOMBAY,MAHARASHTRA,INDIAN BANK
IDIB000G106,18,GAURI,"GAURI CHAURAHA, RAJEPUR, GAURI BILGRAM TEHSIL, HARDOI DIST, UP, PIN-241303",MALLAWAN,HARDOI,UTTAR PRADESH,INDIAN BANK
IDIB000G107,18,GMS ROAD DEHRADUN,"GMS ROAD, DEHRADUN, DEHRADUN DIST, UTTARAHAND, PIN-248001",DEHRADUN,DEHRA DUN,UTTARAKHAND,INDIAN BANK
IDIB000G108,18,GONDIA,"S N PLAZA, RAIL TOLLY, GONDIA, GONDIA DISTRICT, MAHARASHTRA, PIN 441614",GONDIYA,GONDIA,MAHARASHTRA,INDIAN BANK
IDIB000G109,18,GULMOHAR,"PLOT NO 292, ROHIT NAGAR, PHASE II, GULMOHAR, BHOPAL DIST, MADHYA PRADESH, PIN 462039",BHOPAL,BHOPAL,MADHYA PRADESH,INDIAN BANK
IDIB000G110,18,GOPALGANJ,"JAISHREE COMPLEX, THAWE ROAD, GOPALGANJ, BIHAR, PIN-841428",GOPALGANJ,GOPALGANJ,BIHAR,INDIAN BANK
IDIB000G111,18,GANDHINAGAR  VELLORE,"NO.2 KANGEYANALLUR ROAD, GANDHINAGAR, VELLORE, TAMIL NADU, PIN 632006",KATPADI,VELLORE,TAMIL NADU,INDIAN BANK
IDIB000G112,18,GODAVARIKHANI,HOUSE NO 19-2-42 43 MARKANDEYA COLONY ROAD GODAVARIKHANI,GODAVARIKHANI,KARIMNAGAR,TELANGANA,INDIAN BANK
IDIB000G113,18,GOVINDPURI,"OPPOSITE 30 - TAGORE NAGAR, NEAR SAUGAT APPARTMENT, UNIVERSITY ROAD, GOVINDPURI, GWALIOR, MADHYA PRADESH, PIN-474001",GWALIOR,GWALIOR,MADHYA PRADESH,INDIAN BANK
IDIB000G114,18,GANGAVATHI,"MPL NO.2-17-41-1-B2, WARD NO.10, NEAR CHURCH, OPP.SAIBABA RICE MILL, R G ROAD, GANGAVATHI - 583227, KOPPAL DISTRICT, KARNATAKA",GANGAVATHI,KOPPAL,KARNATAKA,INDIAN BANK
IDIB000G115,18,GIRI NAGAR,"NO. 587, 2ND MAIN ROAD, 2ND PHASE, BANASHANKARI 3RD STAGE, 6TH BLOCK, BANGALORE, KARNATAKA, PIN-560085",BANGALORE,BANGALORE URBAN,KARNATAKA,INDIAN BANK
IDIB000G116,18,GEETA NAGAR,"117 K-136 GEETA NAGAR, NAWABGANJ, KANPUR, UP, PIN-208025",KANPUR,KANPUR CITY,UTTAR PRADESH,INDIAN BANK
IDIB000G117,18,GAMBHEERAM,"NO 2-22-4, BOYAPALEM HIGHWAY, GAMBHEERAM VILLAGE, BOYAPALEM POST, ANANDAPURAM MANDAL, VISAKHAPATNAM, ANDHRA PRADESH, PIN-531163",ANANDAPURAM,VISHAKHAPATNAM,ANDHRA PRADESH,INDIAN BANK
IDIB000G119,18,GIDHAUR,"GIDHAUR PO, JAMUI DIST, BIHAR, PIN-811305",GIDHAUR,JAMUI,BIHAR,INDIAN BANK
IDIB000H001,18,HALAHARVI,KURNOOL- BELLARY ROAD HALAHARVI KURNOOL 518348,HALAHARVI,KURNOOL,ANDHRA PRADESH,INDIAN BANK
IDIB000H007,18,HIDE ROAD,"104/4/4, SATYAN ROY ROADBEHALA KOLKATA700034",KOLKATA,KOLKATA,WEST BENGAL,INDIAN BANK
IDIB000H008,18,HIMAYAT NAGAR,"3-6-150, HIMAYATNAGAR HYDERABAD 500029",HYDERABAD,HYDERABAD URBAN,ANDHRA PRADESH,INDIAN BANK
IDIB000H009,18,HOSHIARPUR,M C H 336ROSHAN ROADHOSHIARPURPUNJAB146001,HOSHIARPUR,HOSIARPUR,PUNJAB,INDIAN BANK
IDIB000H010,18,HOSPET,5/460 STATION ROAD HOSPET 583201,HOSPET,BELLARY,KARNATAKA,INDIAN BANK
IDIB000H011,18,HOSUR,"RVN PLAZA, 120/2 DENKANIKOTTAH ROADOPP GOVT. GENERAL HOSPITALHOSUR635109",HOSUR,KRISHNAGIRI,TAMIL NADU,INDIAN BANK
IDIB000H012,18,HOWRAH,"27/2, G T ROAD, HOWRAH PIN 711101",HOWRAH,HOWRAH,WEST BENGAL,INDIAN BANK
IDIB000H013,18,HYDERABAD MAIN,SURABHI ARCADE BANK STREET HYDERABAD 500 001,HYDERABAD,HYDERABAD URBAN,ANDHRA PRADESH,INDIAN BANK
IDIB000H014,18,HATHRAS,622 AGRA ROAD GHAS MANDI HATHRAS 204101,ALIGARH,ALIGARH,UTTAR PRADESH,INDIAN BANK
IDIB000H015,18,HUBLI,101 SUTARIA COMPLEX KOPPIKAR ROAD HUBLI 580020,HUBLI-DHARWAD,DHARWAD,KARNATAKA,INDIAN BANK
IDIB000H016,18,HALAGALLI,HALAGALLI MUDHOL TALUK BAGALKOTE 587121,HALAGALI,BAGALKOT,KARNATAKA,INDIAN BANK
IDIB000H017,18,HASTINAPURAM,NO.124 RAJENDRA PRASAD RD. NEHRU NAGAR600044,TAMBARAM,KANCHEEPURAM,TAMIL NADU,INDIAN BANK
IDIB000H018,18,HANUMANTHAPURAM,MAIN ROAD HANUMANTHAPURAM PALACODE TALUK DHARMAPURI 636802,HANUMANTHAPURAM,DHARMAPURI,TAMIL NADU,INDIAN BANK
IDIB000H019,18,HAUZ KHAS,106 & 107 AUROBINDO PLACED D A COMMERCIAL COMPLEXDELHI110016,DELHI,NEW DELHI,DELHI,INDIAN BANK
IDIB000H020,18,HATIAKHOWA,HATIKHOWA GOLAGHAT 785626,HATIAKHOWA,GOLAGHAT,ASSAM,INDIAN BANK
IDIB000H021,18,HATHIPUKHARI,HATIPUKHURI SAIDRIA (PO) NAGAON 782125,HATIPUKHURI,NAGAON,ASSAM,INDIAN BANK
IDIB000H023,18,HARRDA,HARRDA MIDNAPUR 721507,HARRDA,WEST MEDINIPUR,WEST BENGAL,INDIAN BANK
IDIB000H025,18,JUBILEE HILLS,4-3-76/1-5 & 6 HILL STREETRANIKUNJ SECUNDERABAD500003,SECUNDERABAD CANTONMENT,HYDERABAD URBAN,ANDHRA PRADESH,INDIAN BANK
IDIB000H027,18,SEC-22 - FARIDABAD,"H NO.540,  SECTOR 22, HOUSING BOARD COLONY, FARIDABAD  PIN 121005",FARIDABAD,FARIDABAD,HARYANA,INDIAN BANK
IDIB000H028,18,HISSAR,SCF 20 RED SQUARE MARKET COMPLEX HISSAR 125001,HISAR,HISSAR,HARYANA,INDIAN BANK
IDIB000H029,18,HALDIA,"AKASH GANGA COMMERCIAL COMPLEX IST FLOOR, BLOCK E, BASUDEBPUR, DURGA CPO KHANJANCHAK, HALDIA, MIDNAPORE DT , WEST B721602",HALDIA,EAST MEDINIPUR,WEST BENGAL,INDIAN BANK
IDIB000H030,18,HIMMAT NAGAR,"GANESH CHAMBER, NEAR BUS STAND, HIMMAT NAGAR 383 001, DIST ┬û SABARKANTHA GUJARAT",HIMATNAGAR,SABARKANTHA,GUJARAT,INDIAN BANK
IDIB000H031,18,HUNTER ROAD,"H.NO.1-7-1043, WARANGAL PUBLIC SCHOOL HUNTER ROAD, WARANGAL ┬û 506 001",WARANGAL,WARANGAL,ANDHRA PRADESH,INDIAN BANK
IDIB000H032,18,HARIDWAR,"ARYANAGAR CHOWK, JWALAPUR, HARIDWAR ┬û 249407",HARDWAR,HARIDWAR,UTTARAKHAND,INDIAN BANK
IDIB000H033,18,HUNSHYAL P.G.,SATHISH SUGARS LTD COMPLEX SANGANKEN YEDWAD ROAD GOKAK TALUK BELGAUM 591124,GOKAK,BELGAUM,KARNATAKA,INDIAN BANK
IDIB000H034,18,HAZIPUR,DAKBUNGALOW ROAD SHARADHA COMPLEX PLOT NO.903CD HAJIPUR VAISHALI DT 844101,HAJIPUR,VAISHALI,BIHAR,INDIAN BANK
IDIB000H035,18,HABRA,"ARENA MARKET, I FLOOR 134, JESSORE ROAD HABRA NORTH 24 PARGANAS 743263",HABRA,NORTH 24 PARGANAS,WEST BENGAL,INDIAN BANK
IDIB000H036,18,HAZARIBAGH,"W. PRASAD COMPLEX, MALVIYA MARG, HAZARIBAGH",HAZARIBAGH,HAZARIBAGH,JHARKHAND,INDIAN BANK
IDIB000H037,18,HARDOI,GHANTAGHAR ROAD HARDOI 241001,HARDOI,HARDOI,UTTAR PRADESH,INDIAN BANK
IDIB000H038,18,HARDEVPURI,"HARDEVPURI,SHADARA,DELHI.PIN110093",DELHI,DELHI,DELHI,INDIAN BANK
IDIB000H039,18,HARINAGAR,"WZ 409 &WZ 409 C, JANAK PARK (NEAR GHANTA GHAR), HARI NAGAR, NEW DELHI - 110064",DELHI,DELHI,DELHI,INDIAN BANK
IDIB000H040,18,HIGH COURT BRANCH MADURAI,"MADURAI BENCH OF MADRAS HIGH COURTULAGANERI, MADURAI  Y.OTHAKADAI",MADURAI,MADURAI,TAMIL NADU,INDIAN BANK
IDIB000H041,18,HALDWANI,AKASH COTTAGE UTTAR GOJAJALI  NEAR NEW MANDI  BAREILLY ROAD HALDWANI 263139,HALDWANI,NAINITAL,UTTARAKHAND,INDIAN BANK
IDIB000H042,18,HOSHANGABAD,VAKRATUNDA SHOPING COMPLEX  OPP M.P.S.R.T.C.BUS STAND  KRISHNAPURI WARD  HOSHANGABAD 461001,HOSHANGABAD,HOSHANGABAD,MADHYA PRADESH,INDIAN BANK
IDIB000H043,18,HATIGAON,"INTEGRITY TOWER  FLOWER LANE, HATIGAON ROAD  HATIGAON 781038",GUWAHATI,KAMRUP,ASSAM,INDIAN BANK
IDIB000H044,18,HANUMANGARH,SHOP NO.243  GENERAL MARKET  STATION ROAD  HANUMANGARH TOWN 335513,HANUMANGARH,HANUMANGARH,RAJASTHAN,INDIAN BANK
IDIB000H046,18,HADAPSAR,3-5 SAHYADRI SARITA  NEAR RAILWAY CROSSING  SASANE NAGAR  HADAPSAR  PUNE MAHARASHTRA-411028,HADAPSAR,PUNE,MAHARASHTRA,INDIAN BANK
IDIB000H047,18,HABSI GUDA,"D NO 7 9 BY 5,BESIDES ISI,STREET NO 8,HABSIGUDA,HYDERABAD,ANDHRA PRADESH,PIN 500007",HABSI GUDA,HYDERABAD,ANDHRA PRADESH,INDIAN BANK
IDIB000H048,18,HMV COLLEGE ROAD JALANDHAR,SCF 8 BSF COLONY OPP HMV COLLEGE IMPROVEMENT SCHEME JALANDHAR DIST PUNJAB PIN 144008,KARTARPUR,JALANDHAR,PUNJAB,INDIAN BANK
IDIB000H049,18,HALDIPADA,"GRAM PANCHAYAT BUILDING, HALDIPADA, BALASORE DIST, ODISSA, PIN-756027",HALDIPADA,BALESHWAR,ODISHA,INDIAN BANK
IDIB000H050,18,HOSUR  KARNATAKA,"KRISHNA NAGAR, HOSUR VILLAGE, BIJAPUR TALUK & DISTRICT, KARNATAKA, PIN-587117",BABALESHWAR,BIJAPUR,KARNATAKA,INDIAN BANK
IDIB000H051,18,HANUMAN NAGAR,"11,MARUDHAR VIHAR HANUMAN NAGAR NEAR VAISHALI NAGAR JAIPUR",JAIPUR,JAIPUR,RAJASTHAN,INDIAN BANK
IDIB000H052,18,HARIANK,PANCHAYAT BUILDING PO HARIANK DIST KENDRAPADA ODISHA,KENDRAPARA,KENDRAPARA,ODISHA,INDIAN BANK
IDIB000H053,18,HIRAN MAGRI,"HIRAN MAGRI, PLOT NO. 227-228, NEAR SHIV MANDIR, D BLOCK, SECTOR-14, UDAIPUR, UDAIPUR DISTRICT, RAJASTHAN, PIN - 313001",UDAIPUR,UDAIPUR,RAJASTHAN,INDIAN BANK
IDIB000H054,18,HANAMKONDA HUNDRED FEET ROAD,"35-6-823, BESIDE TV TOWER COLONY, NEAR SPR SCHOOL, HANAMKONDA, WARANGAL DIST, TELANGANA, PIN-506001",WARANGAL,WARANGAL,TELANGANA,INDIAN BANK
IDIB000H055,18,HINDUPUR,"1-3-2C-S.V.R.COMPLEX, PENUKONDA ROAD, HINDUPUR, ANANTAPUR DIST, ANDHRA PRADESH, PIN-515201",HINDUPUR,ANANTAPUR,ANDHRA PRADESH,INDIAN BANK
IDIB000I001,18,IDAPPADI,55 BAZAAR ST IDAPPADI 637101,IDAPPADI,SALEM,TAMIL NADU,INDIAN BANK
IDIB000I002,18,INDORE,NO.4RNT MARGG-1 GROUND FLOORSHREE VARDHAN COMPLEXINDOREMP  452001,INDORE,INDORE,MADHYA PRADESH,INDIAN BANK
IDIB000I003,18,ITTIVA,"WARD NO.13, DOOR NO.59, CHUNDA JN. ITTIVA, CHERUKULAM P O, ANCHAL, KOLLAM DIT, PIN 691306",ITTIVA,KOLLAM,KERALA,INDIAN BANK
IDIB000I005,18,ICHALKARANJI,P B NO 14410/167 MAIN ROADICHALKARANJI416115,ICHALKARNJI,KOLHAPUR,MAHARASHTRA,INDIAN BANK
IDIB000I010,18,CMDA,"C M D A TOWERS 8, GANDHI IRWIN ROADEGMORE600008",CHENNAI,CHENNAI,TAMIL NADU,INDIAN BANK
IDIB000I012,18,INDIRA NAGAR,"B-1316, SAI PLAZA, B BLOCK CROSSINGINDIRA NAGARLUCKNOW220016",LUCKNOW,LUCKNOW,UTTAR PRADESH,INDIAN BANK
IDIB000I014,18,I M T MANESAR,"SHOW ROOM NO.4-5-7-8, GROUND FLOOR RAHEJA SQUARETOWER 'A'GROUND FLOOWFRONT SIDEIMT MANESAR  GURGAON 122050",GURGAON,GURGAON,HARYANA,INDIAN BANK
IDIB000I015,18,ITANAGAR,"E SECTOR, ITANAGAR 791111  ARUNACHAL  PRADESH",ITANAGAR,PAPUM PARE,ARUNACHAL PRADESH,INDIAN BANK
IDIB000I016,18,INDIRAPURAM,"SHOP NO 32 &33, GAUR GREEN CITY, B BLOCK, PLOT NO. 8, VAIBHAV KHAND, INDIRAPURAM, GHAZIABAD  201010",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,INDIAN BANK
IDIB000I017,18,IRUNGATTUKOTTAI,"PLOT NO: PB-3, NORTH AVENUE ROAD (OPP DOUBLE OHT & NEAR TELEPHONE EXCHANGE) IRUNGATTUKOTTAI SRIPERUMBUDUR TALUK 602 105",IRUNGATTUKOTTAI,KANCHEEPURAM,TAMIL NADU,INDIAN BANK
IDIB000I018,18,IRANIWADI (KANDIVALI WEST),"NO.401/402, FOGLA HOUSE SHOP NO.2 TO 8, GROUND FLOOR HEMUKALYANI CROSS ROAD OFF.MATHURDAS ROAD,IRANIWADI, KANDIVALI (WEST),MUMBAI 400 067",MUMBAI,GREATER MUMBAI,MAHARASHTRA,INDIAN BANK
IDIB000I019,18,IRINJALAKUDA,"USHUS COMPLEX IST FLOOR,TANA, MAIN ROAD,IRINJALAKUDA",IRINJALAKUDA,THRISSUR,KERALA,INDIAN BANK
IDIB000I020,18,ILLUPPUR,"17-17, SUBASREE PLAZA, CHINNA KADAI STREET, ILUPPUR, PUDUKOTTAI DIST, TAMILNADU, PIN-622102",ILLUPPUR,PUDUKKOTTAI,TAMIL NADU,INDIAN BANK
IDIB000I021,18,ITKI,"LAL BADRI NATH SAHDEV, NEAR JAGARNATH TEMPLE, ITKI, RANCHI DIST, JHARKHAND, PIN-835301",ARKI,RANCHI,JHARKHAND,INDIAN BANK
IDIB000J001,18,JAGANNATH PRASAD,MAIN ROAD JAGANNATH PRASAD GANJAM 761121,JAGANNATH PRASAD,GANJAM,ODISHA,INDIAN BANK
IDIB000J002,18,JAGRAON,"RAIKOT ROAD, JHANSI RANI CHOWK, JAGRAON, LUDHIANA DIST 142026",JAGRAON,LUDHIANA,PUNJAB,INDIAN BANK
IDIB000J003,18,JAIPUR,"#10, MOTILAL ATAL MARG,OPP: GANPATHIPLAZA,JAIPUR.302001",JAIPUR,JAIPUR,RAJASTHAN,INDIAN BANK
IDIB000J004,18,JALPAIGURI,DIN BAZAAR 735101,JALPAIGURI,JALPAIGURI,WEST BENGAL,INDIAN BANK
IDIB000J005,18,JAMNAGAR,KASI VISHWANATH ROADJAMNAGAR GUJARAT361001,JAMNAGAR,JAMNAGAR,GUJARAT,INDIAN BANK
IDIB000J006,18,JAMSHEDPUR,"P B NO.63, MAIN ROAD, BISTUPUR, L I C BUILDING, JAMSHEDPUR PURBI SINGHBHUM DIST, JHARKHAND, PIN 831001",JAMSHEDPUR,PURBI SINGHBHUM,JHARKHAND,INDIAN BANK
IDIB000J007,18,JABALPUR,426MARHATAAL WARD  KALAM CHAND CHOWKJABALPURMADHYA PRADESH 482002,JABALPUR,JABALPUR,MADHYA PRADESH,INDIAN BANK
IDIB000J008,18,JARIKONDALAMPATTI,"284, CALICUT MAIN ROADJARIKONDALAMPATTISALEM636010",SALEM,SALEM,TAMIL NADU,INDIAN BANK
IDIB000J010,18,JODHPUR PARK,1/120 GARIAHAT ROAD (SOUTH)JODHPUR PARKKOLKATA700068,KOLKATA,KOLKATA,WEST BENGAL,INDIAN BANK
IDIB000J011,18,JORHAT,"ASSAM TRUNK ROAD,  JORHAT,  ASSAM  PIN 785001",JORHAT,JORHAT,ASSAM,INDIAN BANK
IDIB000J012,18,JALANDHAR,"922 G T ROAD, NEAR BUS STAND  JALANDHARJALANDHAR 144001",JALANDHAR,JALANDHAR,PUNJAB,INDIAN BANK
IDIB000J013,18,JUNAGADH,MANGNATH ROAD PANCH HATDI CHOWK JUNAGADH 362001,JUNAGADH,JUNAGADH,GUJARAT,INDIAN BANK
IDIB000J014,18,JALLEY,HJALLEY DARBHANGA DT 847302,JALLEY,DARBHANGA,BIHAR,INDIAN BANK
IDIB000J015,18,JAMNAMARATHUR,1153 SCHOOL STREET JAWADHI HILLS JAMNAMARATHUR TIRUVANNAMALAI 635703,JAMNAMARUTHUR,TIRUVANNAMALAI,TAMIL NADU,INDIAN BANK
IDIB000J016,18,JANAKPURI,C - 26/27COMMUNITY CENTREJANAKPURI 110058,DELHI,NEW DELHI,DELHI,INDIAN BANK
IDIB000J017,18,JAYA NAGAR,"346, MANANDI COURT  27TH  CROSS ,III BLOCKJAYANAGAR 560011",BANGALORE,BANGALORE URBAN,KARNATAKA,INDIAN BANK
IDIB000J018,18,JUJJURU,MAIN ROAD JUJJURU  521181,JUJJURU,KRISHNA,ANDHRA PRADESH,INDIAN BANK
IDIB000J019,18,JAFFERKHANPET,ZENOFER TWR 119/1&2 GUINDY INNER RING RDJAFFERKHANPET  600083,CHENNAI,CHENNAI,TAMIL NADU,INDIAN BANK
IDIB000J020,18,JUHU VILLE PARLE DEVELOPMENT SCHEME,"12 A, SAGAR VILLA, JUHU VILLE PARLE DEVELOPMENT SCHEME, MUMBAI 400049",MUMBAI,GREATER MUMBAI,MAHARASHTRA,INDIAN BANK
IDIB000J022,18,JINNURU,"JINNURU  2-1-(1), MAIN ROADJINNURU  534265",JINNURU,WEST GODAVARI,ANDHRA PRADESH,INDIAN BANK
IDIB000J023,18,JINORIYA,JINORIYA PO KHAIRA DEEP VIA DAUD NAGAR AURANGABAD 824114,JINORIYA,AURANGABAD,BIHAR,INDIAN BANK
IDIB000J024,18,JEDARPALAYAM,4/18 A TIRUCHENGODE MAIN ROAD JEDARPALAYAM PO NAMAKKAL 637213,JEDERPALAYAM,NAMAKKAL,TAMIL NADU,INDIAN BANK
IDIB000J025,18,JOLARPETTAI,23 THIMMARAYAR STREET JOLARPETTAI 635851,JOLARPET,VELLORE,TAMIL NADU,INDIAN BANK
IDIB000J026,18,JAYANTIPUR,JAYANTIPUR GANJAM 761006,JAYANTIPUR,GANJAM,ODISHA,INDIAN BANK
IDIB000J027,18,JAMMU,56 A/BGANDHI NAGARJAMMU180001,JAMMU,JAMMU,JAMMU AND KASHMIR,INDIAN BANK
IDIB000J028,18,J P NAGAR,"10, 2ND CROSS, NRUPATUNGA NAGAR, KOTHANUR MAIN ROAD, J P NAGAR, 7TH PHASE, BANGALORE 560078",BANGALORE,BANGALORE URBAN,KARNATAKA,INDIAN BANK
